Country,Sex, 80_above, 70to79, 60to69 , 50to59 , 40to49, 30to39, 20to29, 10to19
Afghanistan, Both sexes,42,11,5.5,5.6,6.6,9.2,10.2,3.1
Afghanistan, Male,70.4,20.9,9.8,9.3,10.5,15.1,16.3,4.8
Afghanistan, Female,20.1,2.3,1.4,1.6,2.3,2.7,3.5,1.2
Albania, Both sexes,16.3,8.3,6,7.8,9.1,6.1,6.5,5
Albania, Male,23.2,11.9,8.1,11.4,13.5,8.8,6.3,3.1
Albania, Female,10.9,4.9,3.9,4.4,5,3.4,6.6,7
Algeria, Both sexes,9.4,5.6,4.2,4.1,4.7,5.3,4.2,1.3
Algeria, Male,12.7,8.4,6.2,6.2,7,7.9,6.2,1.6
Algeria, Female,6.4,3,2.2,2,2.4,2.6,2.1,1
Angola, Both sexes,63.5,42.1,23.8,14.8,7,5.4,6.6,2.6
Angola, Male,123.2,68.2,34.7,21.8,10.7,8.4,10.4,3.8
Angola, Female,25.3,21.7,14.5,8.6,3.5,2.5,2.9,1.4
Antigua and Barbuda, Both sexes,0,0,8.1,0,0,0,0,0
Antigua and Barbuda, Male,0,0,0,0,0,0,0,0
Antigua and Barbuda, Female,0,0,15.8,0,0,0,0,0
Argentina, Both sexes,15.8,11.6,10,9.5,9.8,10.8,15.3,8.6
Argentina, Male,41.6,22.7,17.2,15.1,15.5,17.8,25.3,12.7
Argentina, Female,4.1,3.7,3.9,4.3,4.2,3.7,5,4.3
Armenia, Both sexes,27.9,17.4,10.1,8.4,9,5.4,4.5,2.2
Armenia, Male,41,28.1,17.8,15.9,17.2,10.1,8.2,3.5
Armenia, Female,20.2,10.4,4.4,2.6,2.3,1.4,0.9,0.6
Australia, Both sexes,28.8,13.1,12.9,18.2,19.7,16.3,13.9,5.6
Australia, Male,41.2,19.8,19.8,27.5,30.2,24.7,20.7,7.3
Australia, Female,20.1,6.7,6.2,9,9.4,8,6.8,3.9
Austria, Both sexes,40.9,25.1,17.8,23.1,15.7,13.1,10.8,4.5
Austria, Male,91.8,40.6,27.4,33.1,23.8,19.9,17.1,5.2
Austria, Female,12.7,12.4,9,13.2,7.6,6.3,4.3,3.7
Azerbaijan, Both sexes,7.7,6.6,4.5,4.1,3.5,3.2,2.2,1.4
Azerbaijan, Male,12.5,10.4,7.3,7,6.2,5.4,3.4,2.1
Azerbaijan, Female,5,4,2.1,1.4,1,1,0.9,0.6
Bahamas, Both sexes,4.3,3,2.6,2.6,2.2,1.9,1.8,0.8
Bahamas, Male,8.1,5.4,4.8,4.6,4,3.7,3.1,1
Bahamas, Female,2.4,1.3,0.9,0.8,0.5,0.2,0.4,0.6
Bahrain, Both sexes,25.2,11,6.2,4.8,6.1,8.1,8.8,3
Bahrain, Male,40.8,17.7,8.2,6.5,8.6,10.6,11.7,4.3
Bahrain, Female,11.5,4.2,3.2,1.9,1.4,2.7,3.1,1.5
Bangladesh, Both sexes,30,12.8,7.7,4.9,4.6,6.6,9.5,6.2
Bangladesh, Male,51.4,19.2,9.3,6.2,4.8,4.9,5.7,2.7
Bangladesh, Female,10.2,6.4,6.1,3.6,4.5,8.2,13.3,9.8
Barbados, Both sexes,9.7,4.4,0,0.3,0.4,0.4,0,0
Barbados, Male,26.6,0,0,0.6,0.9,0.8,0,0
Barbados, Female,0,7.8,0,0,0,0,0,0
Belarus, Both sexes,40.6,32.4,32,39.9,39.9,30.6,18.9,4.8
Belarus, Male,96.1,76.8,65.3,75.9,70.4,52.1,32.3,7.6
Belarus, Female,22.9,11.4,8.9,9.5,11.8,9,4.8,1.8
Belgium, Both sexes,53.4,27.5,24.2,32.3,29.1,18.3,13.4,3.6
Belgium, Male,71.8,37.2,32.7,41.8,40.2,28.2,21,4.9
Belgium, Female,42.9,19.6,16.2,22.7,17.6,8.4,5.6,2.1
Belize, Both sexes,22.4,18,15.1,10.5,7.2,4,5.4,2.8
Belize, Male,36.2,29,25.9,17.8,12.8,7.6,9,3.5
Belize, Female,10.4,7,4.1,3,1.9,0.6,1.8,2
Benin, Both sexes,90,60.4,36.6,24.5,15.6,13.9,14,4.5
Benin, Male,146.4,81.1,47.3,33,22.6,21.6,21.8,6.6
Benin, Female,55.6,45.8,27.6,16.7,9,6.2,6.1,2.4
Bhutan, Both sexes,18.9,13.7,12.6,16.3,19.3,19.4,13.5,4.9
Bhutan, Male,28.7,17.1,13.8,18.9,23.3,23.3,16.7,5.2
Bhutan, Female,7.7,9.6,11.2,13.2,14.5,14.3,10,4.6
Bolivia (Plurinational State of), Both sexes,14.1,13.4,15,15,15.6,17,21.2,10.4
Bolivia (Plurinational State of), Male,19.4,18,20.2,20,21.2,23.4,28.7,10.8
